Date,Close
12/6/2016,129.35
12/7/2016,129.37
12/8/2016,130.64
12/9/2016,130.07
12/12/2016,127.79
12/13/2016,129.24
12/14/2016,128.21
12/15/2016,129.01
12/16/2016,129.32
12/19/2016,128.44
12/20/2016,126.32
12/21/2016,126.11
12/22/2016,125.06
12/23/2016,127.4
12/27/2016,127.09
12/28/2016,124.97
12/29/2016,125.13
12/30/2016,125.05
1/3/2017,126.94
1/4/2017,128
1/5/2017,131.97
1/6/2017,135.05
1/9/2017,133.72
1/10/2017,134.68
1/11/2017,137.5
1/12/2017,136.36
1/13/2017,138.48
1/17/2017,138.45
1/18/2017,138.76
1/19/2017,141.92
1/20/2017,142.11
1/23/2017,140.84
1/24/2017,143.98
1/25/2017,146.12
1/26/2017,145.55
1/27/2017,145.18
1/30/2017,144.88
1/31/2017,147.56
2/1/2017,146.09
2/2/2017,145.57
2/3/2017,151.02
2/6/2017,149.64
2/7/2017,150.15
2/8/2017,151.89
2/9/2017,155.49
2/10/2017,155.29
2/13/2017,156.23
2/14/2017,156.91
2/15/2017,155.35
2/16/2017,152.93
2/17/2017,154.76
2/21/2017,155.8
2/22/2017,155.37
2/23/2017,152.74
2/24/2017,153.01
2/27/2017,153.95
2/28/2017,151.9
3/1/2017,115.21
3/2/2017,116.49
3/3/2017,115.55
3/6/2017,114.65
3/7/2017,114.25
3/8/2017,114.55
3/9/2017,115.05
3/10/2017,118.88
3/13/2017,117.68
3/14/2017,116.64
3/15/2017,116.95
3/16/2017,116.98
3/17/2017,115.81
3/20/2017,114.87
3/21/2017,111.1
3/22/2017,111.72
3/23/2017,111.89
3/24/2017,111.77
3/27/2017,111.8
3/28/2017,112.87
3/29/2017,113.43
3/30/2017,113.5
3/31/2017,112.68
4/3/2017,111.02
4/4/2017,109.82
4/5/2017,108.01
4/6/2017,110.88
4/7/2017,112.2
4/10/2017,112.41
4/11/2017,113.47
4/12/2017,113.38
4/13/2017,112.21
4/17/2017,109.87
4/18/2017,109.09
4/19/2017,109.16
4/20/2017,108.84
4/21/2017,108.55
4/24/2017,109.82
4/25/2017,110.4
4/26/2017,109.27
4/27/2017,109.95
4/28/2017,108.41
5/1/2017,108.42
5/2/2017,109.91
5/3/2017,113.14
5/4/2017,115.64
5/5/2017,116.31
5/8/2017,116.83
5/9/2017,118.3
5/10/2017,115.83
5/11/2017,115.15
5/12/2017,116.46
5/15/2017,119.61
5/16/2017,118.67
5/17/2017,114.47
5/18/2017,113.71
5/19/2017,116.5
5/22/2017,117.11
5/23/2017,118.12
5/24/2017,117.97
5/25/2017,117.64
5/26/2017,118.08
5/30/2017,117
5/31/2017,118.59
6/1/2017,138.99
6/2/2017,138.11
6/5/2017,140.52
6/6/2017,139.14
6/7/2017,140.03
6/8/2017,139.22
6/9/2017,134.04
6/12/2017,133
6/13/2017,134.75
6/14/2017,133.88
6/15/2017,132.04
6/16/2017,131.59
6/19/2017,134.14
6/20/2017,132.33
6/21/2017,132.94
6/22/2017,136.06
6/23/2017,138.41
6/26/2017,137.11
6/27/2017,134.98
6/28/2017,136.19
6/29/2017,134.7
6/30/2017,133.81
7/3/2017,132.93
7/5/2017,133.83
7/6/2017,132.64
7/7/2017,136.15
7/10/2017,137.57
7/11/2017,138.86
7/12/2017,139.39
7/13/2017,141
7/14/2017,138.96
7/17/2017,138.66
7/18/2017,139.43
7/19/2017,140.77
7/20/2017,139.51
7/21/2017,138.72
7/24/2017,139.45
7/25/2017,139.46
7/26/2017,138.73
7/27/2017,135.02
7/28/2017,133.7
7/31/2017,131.78
8/1/2017,133.08
8/2/2017,131.35
8/3/2017,131.75
8/4/2017,130.47
8/7/2017,130.98
8/8/2017,129.64
8/9/2017,129.89
8/10/2017,127.72
8/11/2017,128.84
8/14/2017,130.94
8/15/2017,131.43
8/16/2017,132.93
8/17/2017,130.56
8/18/2017,130.27
8/21/2017,131.07
8/22/2017,132.46
8/23/2017,130.44
8/24/2017,131.74
8/25/2017,128.63
8/28/2017,129.28
8/29/2017,130.08
8/30/2017,132.8
8/31/2017,132.69
9/1/2017,146.67
9/5/2017,144.03
9/6/2017,144.73
9/7/2017,143.67
9/8/2017,144.03
9/11/2017,144.88
9/12/2017,143.56
9/13/2017,144.14
9/14/2017,142.5
9/15/2017,143.45
9/18/2017,143.43
9/19/2017,142.87
9/20/2017,141.75
9/21/2017,140.06
9/22/2017,140.26
9/25/2017,138.24
9/26/2017,139.97
9/27/2017,139.92
9/28/2017,140.69
9/29/2017,144.1
10/2/2017,144.6
10/3/2017,144.35
10/4/2017,144.05
10/5/2017,145.5
10/6/2017,147.37
10/9/2017,146.42
10/10/2017,150.52
10/11/2017,149
10/12/2017,148.24
10/13/2017,149.91
10/16/2017,149.01
10/17/2017,149.42
10/18/2017,149.69
10/19/2017,149.33
10/20/2017,149.61
10/23/2017,148.23
10/24/2017,149.24
10/25/2017,148.55
10/26/2017,148.8
10/27/2017,146.66
10/30/2017,147.57
10/31/2017,147.2
11/1/2017,143.99
11/2/2017,143.23
11/3/2017,146.36
11/6/2017,147.97
11/7/2017,146.69
11/8/2017,148.46
11/9/2017,139
11/10/2017,140.35
11/13/2017,138.67
11/14/2017,138.81
11/15/2017,138.21
11/16/2017,138.7
11/17/2017,142.72
11/20/2017,142.53
11/21/2017,149.4
11/22/2017,151.39
11/24/2017,150.64
11/27/2017,150.67
11/28/2017,149.1
11/29/2017,144.9
11/30/2017,145.75
12/1/2017,143.77
12/4/2017,142.89
12/5/2017,142.82
12/6/2017,141.37
12/7/2017,142.83
12/8/2017,143.89
12/11/2017,144.16
12/12/2017,143.49
12/13/2017,144.87
12/14/2017,145.43
12/15/2017,147.26
12/18/2017,148.25
12/19/2017,148.94
12/20/2017,147.42
12/21/2017,146.61
12/22/2017,146.15
12/26/2017,146.19
12/27/2017,146.76
12/28/2017,146.87
12/29/2017,144.94
1/2/2018,148.55
1/3/2018,149.68
1/4/2018,149.26
1/5/2018,152.97
1/8/2018,153.65
1/9/2018,152.29
1/10/2018,153.06
1/11/2018,154.16
1/12/2018,153.52
1/16/2018,151.6
1/17/2018,154.23
1/18/2018,157.82
1/19/2018,157.22
1/22/2018,153.87
1/23/2018,159.53
1/24/2018,158.28
1/25/2018,157.28
1/26/2018,159.71
1/29/2018,156.72
1/30/2018,154.43
1/31/2018,157.87
2/1/2018,159.61
2/2/2018,155.18
2/5/2018,153.54
2/6/2018,156.56
2/7/2018,156.01
2/8/2018,151.32
2/9/2018,153.87
2/12/2018,155.25
2/13/2018,156.89
2/14/2018,158.37
2/15/2018,160.59
2/16/2018,162.08
2/20/2018,162.92
2/21/2018,164.4
2/22/2018,161.98
2/23/2018,165.54
2/26/2018,169.32
2/27/2018,173.24
2/28/2018,173.37
3/1/2018,173.44
3/2/2018,176.77
3/5/2018,180.27
3/6/2018,183.22
3/7/2018,186.27
3/8/2018,187.65
3/9/2018,188.51
3/12/2018,189.73
3/13/2018,188.24
3/14/2018,188.45
3/15/2018,189.01
3/16/2018,187.46
3/19/2018,186.12
3/20/2018,187.86
3/21/2018,187.97
3/22/2018,184.83
3/23/2018,181.76
3/26/2018,187.45
3/27/2018,179.44
3/28/2018,176.9
3/29/2018,181.52
4/2/2018,180.14
4/3/2018,184.37
4/4/2018,189.24
4/5/2018,196.4
4/6/2018,193.84
4/9/2018,187.92
4/10/2018,186.82
4/11/2018,186.99
4/12/2018,190.48
4/13/2018,187.38
4/16/2018,189.02
4/17/2018,191.9
4/18/2018,192.47
4/19/2018,192.02
4/20/2018,192.07
4/23/2018,192.27
4/24/2018,191.27
4/25/2018,190.55
4/26/2018,193.71
4/27/2018,192.47
4/30/2018,192.51
5/1/2018,194.12
5/2/2018,196.69
5/3/2018,193.42
5/4/2018,195.36
5/7/2018,198.54
5/8/2018,201.8
5/9/2018,206.61
5/10/2018,205.89
5/11/2018,202.31
5/14/2018,200.1
5/15/2018,202.24
5/16/2018,199.78
5/17/2018,200.02
5/18/2018,201.75
5/21/2018,206.7
5/22/2018,204.33
5/23/2018,207.02
5/24/2018,209.15
5/25/2018,209.29
5/29/2018,207.85
5/30/2018,209.67
5/31/2018,209.67
6/1/2018,209.19
6/4/2018,208.09
6/5/2018,203.86
6/6/2018,202.98
6/7/2018,198.5
6/8/2018,199.33
6/11/2018,198.71
6/12/2018,207.42
6/13/2018,213.05
6/14/2018,215.56
6/15/2018,214.6
6/18/2018,211.84
6/19/2018,210.97
6/20/2018,215.44
6/21/2018,212.7
6/22/2018,207.59
6/25/2018,202.34
6/26/2018,203.88
6/27/2018,201.12
6/28/2018,204.92
6/29/2018,205.47
7/2/2018,209.44
7/3/2018,209.68
7/5/2018,208.47
7/6/2018,211.16
7/9/2018,208.9
7/10/2018,210.7
7/11/2018,212.79
7/12/2018,218.32
7/13/2018,215.95
7/16/2018,214.36
7/17/2018,216.58
7/18/2018,216.22
7/19/2018,214.58
7/20/2018,214.06
7/23/2018,211.64
7/24/2018,208.76
7/25/2018,214.74
7/26/2018,215.37
7/27/2018,207.97
7/30/2018,195.66
7/31/2018,198.26
8/1/2018,200.18
8/2/2018,208.86
8/3/2018,206.96
8/6/2018,211.41
8/7/2018,212.4
8/8/2018,212.13
8/9/2018,213.1
8/10/2018,212.62
8/13/2018,210.55
8/14/2018,210.8
8/15/2018,204.83
8/16/2018,210.5
8/17/2018,213.09
8/20/2018,212.62
8/21/2018,212.29
8/22/2018,215.59
8/23/2018,216.71
8/24/2018,225.43
8/27/2018,226.75
8/28/2018,229.22
8/29/2018,231.23
8/30/2018,230.24
8/31/2018,231.15
9/4/2018,229.03
9/5/2018,222.23
9/6/2018,220.37
9/7/2018,227.61
9/10/2018,236.12
9/11/2018,234.12
9/12/2018,236.23
9/13/2018,236.1
9/14/2018,234.62
9/17/2018,232
9/18/2018,234.05
9/19/2018,229.02
9/20/2018,230.01
9/21/2018,229.52
9/24/2018,230.66
9/25/2018,229.68
9/26/2018,226.15
9/27/2018,225.77
9/28/2018,225.26
10/1/2018,224.81
10/2/2018,222.74
10/3/2018,221.3
10/4/2018,219.32
10/5/2018,215.71
10/8/2018,212.38
